date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2014-01-05,sz300293,20.5,22.5,20.11,21.09,0.07492281134170709,36683903.0,777851627.2,949050000.0,3796200000.0,0.8151978444444444,64.23038000000001,2013-09-30,2013-10-28,36.965573,4.565779,-7.443574000000001,5.741518,13.405651
2014-01-12,sz300293,20.93,21.8,18.75,19.4,-0.08013396480396295,23565230.0,483896667.7,873000000.0,3492000000.0,0.5236717777777777,59.083344999999994,2013-09-30,2013-10-28,34.003375,4.199905,-6.847091000000001,5.281428,12.331403
2014-01-19,sz300293,19.36,23.99,19.3,22.75,0.17268016266785313,34365665.0,757883288.3599999,1023750000.0,4095000000.0,0.7636814444444444,69.285866,2013-09-30,2013-10-28,39.875083000000004,4.925145,-8.029448,6.193425,14.460792000000001
2014-01-26,sz300293,22.42,24.58,21.56,23.73,0.043077445886228416,29504875.0,687791378.6599998,1067850000.0,4271400000.0,0.6556638888888889,72.270524,2013-09-30,2013-10-28,41.5928,5.137308,-8.375336,6.460222,15.083725
2014-02-02,sz300293,23.47,24.24,22.06,22.45,-0.053939786602613005,18744460.0,437212544.07,1010250000.0,4041000000.0,0.41654355555555556,68.372268,2013-09-30,2013-10-28,39.349292999999996,4.860203,-7.923572,6.111758999999999,14.270113
2014-02-09,sz300293,22.03,23.24,21.9,23.07,0.027617000000000003,3890667.0,89052892.43,1038150000.0,4152600000.0,0.08645926666666667,70.26050500000001,2013-09-30,2013-10-28,40.436003,4.994427,-8.142398,6.2805480000000005,14.66421
2014-02-16,sz300293,23.13,24.5,21.8,22.62,-0.01950572581537524,25597905.0,589553446.55,1017900000.0,4071600000.0,0.5688423333333333,68.890022,2013-09-30,2013-10-28,39.647269,4.897007,-7.983574000000001,6.158041000000001,14.378174
2014-02-23,sz300293,22.7,23.33,20.68,20.8,-0.08046009968554368,16945544.0,377578571.8000001,936000000.0,3744000000.0,0.37656764444444446,63.347124,2013-09-30,2013-10-28,36.457246000000005,4.502993,-7.341214999999999,5.662564,13.221305
2014-03-02,sz300293,20.79,21.98,18.21,20.47,-0.01586450586179944,19716430.0,399849144.05,921150000.0,3684600000.0,0.4381428888888889,62.342154,2013-09-30,2013-10-28,35.87887,4.431556,-7.22475,5.572731,13.011555
2014-03-09,sz300293,20.35,21.1,19.58,19.97,-0.024424717005717578,11602760.0,237094566.07000002,898650000.0,3594600000.0,0.25783911111111113,60.819464,2013-09-30,2013-10-28,35.002538,4.323316,-7.048288,5.436618,12.693752
2014-03-16,sz300293,19.8,19.8,18.49,19.19,-0.03905903342748007,6755144.0,127977280.8,863550000.0,3454200000.0,0.15011431111111112,58.443915000000004,2013-09-30,2013-10-28,33.635373,4.154452,-6.772988000000001,5.2242690000000005,12.197946
2014-03-23,sz300293,19.28,20.73,18.81,19.63,0.022929017085232095,8981657.0,178968242.16,883350000.0,3533400000.0,0.19959237777777777,59.783976,2013-09-30,2013-10-28,34.406599,4.249708999999999,-6.928286,5.344057,12.477633
2014-03-30,sz300293,19.62,20.05,18.28,18.34,-0.06571616523802204,6866195.0,132983782.78,825300000.0,3301200000.0,0.1525821111111111,55.855202,2013-09-30,2013-10-28,32.145528999999996,3.9704349999999997,-6.472986,4.992866,11.657651
2014-04-06,sz300293,18.37,18.81,17.25,17.92,-0.022899905316964397,6999002.0,125803900.11999997,806400000.0,3225600000.0,0.15553337777777781,54.576124,2013-09-30,2013-10-28,31.4094,3.879512,-6.324755000000001,4.8785300000000005,11.390692
2014-04-13,sz300293,17.71,19.88,17.33,18.88,0.053571833516480094,14452675.0,274189946.78,849600000.0,3398400000.0,0.32117055555555557,57.499867,2013-09-30,2013-10-28,33.092059000000006,4.087344,-6.663583999999999,5.139881,12.000912
2014-04-20,sz300293,19.0,19.28,18.31,18.84,-0.0021189645798491696,9455029.0,178047534.97,847800000.0,3391200000.0,0.21011175555555556,57.378026,2013-09-30,2013-10-28,33.021938,4.078684,-6.649464,5.12899,11.975482000000001
